anal_num,bd_number,a_cont_by,a_makedown,a_nv_scor,a_vul_scor,b_cont_by,b_makedown,b_nv_scor,b_vul_scor,nv_imps,vul_imps,nv_netscor,v_netscor,north,east,south,west,n_hcp,e_hcp,s_hcp,w_hcp
,0,,,0,0,,,0,0,0,0,0,0,,,,,0,0,0,0
,0,,,0,0,,,0,0,0,0,0,0,,,,,0,0,0,0
1,1,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:76 H:KJ4 D:KQJ9 C:JT52,S:AQ843 H:T72 D:3 C:K986,S:952 H:Q83 D:A54 C:AQ74,S:KJT H:A965 D:T8762 C:3,11,9,12,8
1,2,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:K32 H:J6 D:AKJ3 C:A954,S:86 H:T875 D:Q974 C:KQ6,S:Q754 H:K43 D:862 C:T87,S:AJT9 H:AQ92 D:T5 C:J32,16,7,5,12
1,3,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:AJ4 H:82 D:A853 C:AK32,S:KT632 H:T97 D:J C:JT98,S:9875 H:AQJ5 D:Q92 C:Q6,S:Q H:K643 D:KT764 C:754,16,5,11,8
1,4,3N -N, -4,-200,-400,2N -N, -3,-150,-300,-2,-3,-50,-100,S:AQ7 H:Q754 D:J52 C:J97,S:T53 H:J32 D:Q9 C:AQT54,S:K94 H:A86 D:K763 C:863,S:J862 H:KT9 D:AT84 C:K2,10,9,10,11
1,5,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:T94 H:QJ52 D:A862 C:85,S:AK3 H:983 D:QT4 C:KJ76,S:QJ H:AK76 D:KJ7 C:Q932,S:87652 H:T4 D:953 C:AT4,7,13,16,4
1,6,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:A874 H:K4 D:KJ63 C:953,S:JT62 H:A7532 D:942 C:K,S:K93 H:Q98 D:Q87 C:AJ84,S:Q5 H:JT6 D:AT5 C:QT762,11,8,12,9
1,7,3N -N, -4,-200,-400,2N -N, -3,-150,-300,-2,-3,-50,-100,S:T8 H:QJ85 D:KJ96 C:943,S:652 H:642 D:AQ7 C:8652,S:Q73 H:AKT D:T84 C:KQJ7,S:AKJ94 H:973 D:532 C:AT,7,6,15,12
1,8,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:Q76 H:QT7 D:T764 C:976,S:AK985 H:652 D:KJ C:Q85,S:J3 H:KJ43 D:A985 C:AK4,S:T42 H:A98 D:Q32 C:JT32,4,13,16,7
1,9,3N -N,  5,460,660,2N -N,  5,210,210,6,10,250,450,S:T5 H:KT82 D:KQ64 C:A86,S:A9876 H:97 D:53 C:JT53,S:KQJ4 H:A43 D:T8 C:KQ92,S:32 H:QJ65 D:AJ972 C:74,12,5,15,8
1,10,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:AK76 H:J9 D:AQT C:K654,S:Q542 H:KQT42 D:83 C:QJ,S:JT83 H:86 D:K975 C:AT7,S:9 H:A753 D:J642 C:9832,17,10,8,5
1,11,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:K964 H:953 D:K64 C:AJT,S:J32 H:Q84 D:T82 C:KQ83,S:AQ75 H:A76 D:753 C:765,S:T8 H:KJT2 D:AQJ9 C:942,11,8,10,11
1,12,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:QJ94 H:85 D:A64 C:J742,S:83 H:AK96 D:87532 C:53,S:KT5 H:J4 D:QJT9 C:AQT6,S:A762 H:QT732 D:K C:K98,8,7,13,12
1,13,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:KT32 H:T86 D:AT97 C:K7,S:Q876 H:Q543 D:Q4 C:A83,S:AJ94 H:K2 D:K863 C:Q65,S:5 H:AJ97 D:J52 C:JT942,10,10,13,7
1,14,3N -N, -1,-50,-100,2N -N,  2,120,120,-5,-6,-170,-220,S:Q8 H:A76 D:9873 C:AJ74,S:J652 H:Q54 D:AQ4 C:T65,S:A943 H:K32 D:KJT C:982,S:KT7 H:JT98 D:652 C:KQ3,11,9,11,9
1,15,3N -N, -3,-150,-300,2N -N, -2,-100,-200,-2,-3,-50,-100,S:Q74 H:Q74 D:KT75 C:KJ5,S:AKJ532 H:985 D:63 C:T7,S:86 H:AK6 D:A984 C:9832,S:T9 H:JT32 D:QJ2 C:AQ64,11,8,11,10
1,16,3N -N,  6,490,690,2N -N,  6,240,240,6,10,250,450,S:K9 H:KT64 D:654 C:A862,S:T84 H:732 D:KJ83 C:JT5,S:AQ76 H:AJ9 D:AQT9 C:Q9,S:J532 H:Q85 D:72 C:K743,10,5,19,6
1,17,3N -N, -2,-100,-200,2N -N, -1,-50,-100,-2,-3,-50,-100,S:KT84 H:K72 D:A54 C:KJ5,S:AQJ5 H:A4 D:KT87 C:973,S:962 H:J963 D:Q3 C:A864,S:73 H:QT85 D:J962 C:QT2,14,14,7,5
1,18,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:AKT H:642 D:KQJT C:Q32,S:Q874 H:JT95 D:A72 C:65,S:J652 H:A3 D:9864 C:AKT,S:93 H:KQ87 D:53 C:J9874,15,7,12,6
1,19,3N -N,  3,400,600,2N -N,  3,150,150,6,10,250,450,S:AT32 H:A52 D:AT42 C:K3,S:765 H:KQT8 D:873 C:A98,S:KQ9 H:643 D:KQ65 C:T42,S:J84 H:J97 D:J9 C:QJ765,15,9,10,6
